ALGORITHM, DISTANCE, TIME
FootRule+, 4.82, 0.00000
FootRule+_Chanas, 4.8, 0.00000
FootRule+_Local-Search, 4.8, 15.62500
RandomSort, 4.92, 0.00000
RandomSort_Chanas, 4.8, 15.62500
RandomSort_Local-Search, 4.8, 0.00000
Borda+, 5.6, 0.00000
Borda+_Chanas, 4.92, 0.00000
Borda+_Local-Search, 4.8, 0.00000
Score-Then-Borda+, 5.24, 0.00000
Score-Then-Borda+_Chanas, 4.92, 0.00000
Score-Then-Borda+_Local-Search, 4.8, 0.00000
Relaxed-Linear-Program, 4.8, 109.37500
Relaxed-Linear-Program_Chanas, 4.8, 109.37500
Relaxed-Linear-Program_Local-Search, 4.8, 109.37500
Local-Search, 4.8, 15.62500
Local-Search_Chanas, 4.8, 15.62500
Chanas, 5.14, 15.62500
Chanas_Local-Search, 4.8, 15.62500
Opt, 4.8, 109.37500
