ALGORITHM, DISTANCE, TIME
FootRule+, 65.54, 31.25000
FootRule+_Chanas, 64.76, 109.37500
FootRule+_Local-Search, 64.26, 312.50000
RandomSort, 74.2, 0.00000
RandomSort_Chanas, 68.32, 62.50000
RandomSort_Local-Search, 64.22, 468.75000
Borda+, 79.88, 0.00000
Borda+_Chanas, 70.22, 62.50000
Borda+_Local-Search, 64.18, 484.37500
Score-Then-Borda+, 70.18, 0.00000
Score-Then-Borda+_Chanas, 67.96, 46.87500
Score-Then-Borda+_Local-Search, 64.24, 281.25000
Relaxed-Linear-Program, 64.18, 12265.62500
Relaxed-Linear-Program_Chanas, 64.18, 12328.12500
Relaxed-Linear-Program_Local-Search, 64.18, 12312.50000
Local-Search, 64.22, 343.75000
Local-Search_Chanas, 64.22, 406.25000
Chanas, 80.26, 31.25000
Chanas_Local-Search, 64.22, 328.12500
Opt, 64.18, 10906.25000
Copeland, 64.7, 15.62500
Copeland_Chanas, 64.36, 78.12500
Copeland_Local-Search, 64.18, 187.50000
QS-Rand, 75.98, 15.62500
QS-Rand_Chanas, 70.5, 78.12500
QS-Rand_Local-Search, 64.18, 296.87500
QS-Det, 96.06, 15.62500
QS-Det_Chanas, 73.64, 62.50000
QS-Det_Local-Search, 64.18, 500.00000
IS, 65.94, 0.00000
IS_Chanas, 64.92, 62.50000
IS_Local-Search, 64.18, 312.50000
