ALGORITHM, DISTANCE, TIME
FootRule+, 15.8026, 15.62500
FootRule+_Chanas, 15.7608, 125.00000
FootRule+_Local-Search, 15.7106, 109.37500
RandomSort, 16.0504, 187.50000
RandomSort_Chanas, 15.761, 296.87500
RandomSort_Local-Search, 15.7106, 281.25000
Borda+, 15.8116, 31.25000
Borda+_Chanas, 15.751, 125.00000
Borda+_Local-Search, 15.7106, 140.62500
Score-Then-Borda+, 15.8116, 46.87500
Score-Then-Borda+_Chanas, 15.751, 140.62500
Score-Then-Borda+_Local-Search, 15.7106, 156.25000
Relaxed-Linear-Program, 15.7106, 218.75000
Relaxed-Linear-Program_Chanas, 15.7106, 312.50000
Relaxed-Linear-Program_Local-Search, 15.7106, 312.50000
Local-Search, 15.7106, 93.75000
Local-Search_Chanas, 15.7106, 187.50000
Chanas, 15.7976, 93.75000
Chanas_Local-Search, 15.7106, 187.50000
Copeland, 16.7146, 93.75000
Copeland_Chanas, 15.7462, 187.50000
Copeland_Local-Search, 15.7106, 187.50000
QS-Rand, 16.3018, 93.75000
QS-Rand_Chanas, 15.8518, 187.50000
QS-Rand_Local-Search, 15.7106, 203.12500
QS-Det, 16.4022, 109.37500
QS-Det_Chanas, 15.8564, 203.12500
QS-Det_Local-Search, 15.7106, 218.75000
IS, 16.7242, 93.75000
IS_Chanas, 15.7366, 203.12500
IS_Local-Search, 15.7106, 187.50000
Opt, 15.7106, 218.75000
